,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,22,NYK,NBA,,12,,,,,,11,15,,,,,,,33
1964-65,23,NYK,NBA,,9,,,,,,6,7,,,,,,,23
1965-66,24,TOT,NBA,,5,,,,,,3,4,,,,,,,11
1965-66,24,CIN,NBA,,5,,,,,,2,4,,,,,,,11
1965-66,24,PHI,NBA,,2,4,,,,,3,3,,,2,2,,1,7
1967-68,26,TOT,ABA,,12,,3,,,,12,15,,,,,,,37
1967-68,26,NJA,ABA,,12,,1,,,,10,14,,,,,,,30
1967-68,26,PTP,ABA,,12,,3,,,,12,15,,,,,,,37
1968-69,27,MNP,ABA,,12,,3,,,,12,18,,,,,,,31
1969-70,28,TOT,ABA,,6,,1,,,,6,9,,,,,,,17
1969-70,28,PTP,ABA,,0,,0,,,,0,0,,,,,,,0
1969-70,28,MMF,ABA,,6,,1,,,,6,9,,,,,,,17
Career,,,TOT,,12,,,,,,12,18,,,,,,,37
,,,NBA,,12,,,,,,11,15,,,,,,,33
,,,ABA,,12,,3,,,,12,18,,,,,,,37
,,,,,,,,,,,,,,,,,,,
2 Seasons,,NYK,NBA,,12,,,,,,11,15,,,,,,,33
3 Seasons,,"MNP,PTP",ABA,,12,,3,,,,12,18,,,,,,,37
1 Season,,MMF,ABA,,6,,1,,,,6,9,,,,,,,17
1 Season,,NJA,ABA,,12,,1,,,,10,14,,,,,,,30
1 Season,,CIN,NBA,,5,,,,,,2,4,,,,,,,11
1 Season,,PHI,NBA,,2,4,,,,,3,3,,,2,2,,1,7
