Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Art Heyman,,8.5,6.1,2.7,1.3,0.6,0
Marvin Barnes,87.0,8.6,7.6,2,1.3,1,0.1
John Brisker,85.4,8.2,6.3,3.1,2.3,1.7,0.5
Montrezl Harrell,84.6,8.7,5.5,4.1,0.9,NA,NA
Jerami Grant,83.6,7.3,5.4,2.9,2.1,0.5,NA
Toby Knight,80.3,7.3,5.7,1.6,1.1,NA,NA
Johnny Norlander,80.2,9.7,5.8,4.2,0.6,0.2,NA
Julius Randle,79.8,6.6,6.1,3.5,1.6,-0.1,NA
Leo Mogus,77.0,8,7.7,5,1.2,NA,NA
Howie Dallmar,76.7,7,5.9,2.2,NA,NA,NA
Dwight Powell,75.8,7.5,6.6,4.6,3.1,0.6,NA
