Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Art Heyman,,8.5,6.1,2.7,1.3,0.6,0
Gerald Wallace,89.2,7.7,6.4,2.4,0.9,0.6,0.4
Marvin Barnes,87.0,8.6,7.6,2,1.3,1,0.1
John Brisker,85.4,8.2,6.3,3.1,2.3,1.7,0.5
Joe Graboski,85.0,7.2,5.8,2.3,0.7,0.6,-0.1
Montrezl Harrell,84.6,8.7,5.5,4.1,0.9,NA,NA
Don Kojis,84.0,8.3,5,1.9,1.5,0.7,0.7
LaPhonso Ellis,83.9,8,7.6,3.6,1.4,1,0
Matt Harpring,83.7,8.8,6.1,2.8,2.6,2.6,0.2
Jerami Grant,83.6,7.3,5.4,2.9,2.1,0.5,NA
DeMarre Carroll,82.8,7,5.8,3.1,0.5,0.5,0.1
