Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,22,NYK,NBA,SG,75,,29.8,5.8,13.4,.431,,,,5.8,13.4,.431,.431,3.9,5.6,.685,,,4.0,3.4,,3.1,15.4
1964-65,23,NYK,NBA,SG,55,,12.1,2.1,4.9,.427,,,,2.1,4.9,.427,.427,1.6,2.4,.667,,,1.8,1.4,,1.7,5.7
1965-66,24,TOT,NBA,,17,,7.1,1.1,3.1,.346,,,,1.1,3.1,.346,.346,0.8,1.3,.636,,,1.0,0.6,,1.4,2.9
1965-66,24,CIN,NBA,,11,,9.1,1.4,3.9,.349,,,,1.4,3.9,.349,.349,0.9,1.5,.588,,,1.2,0.6,,1.7,3.6
1965-66,24,PHI,NBA,,6,,3.3,0.5,1.5,.333,,,,0.5,1.5,.333,.333,0.7,0.8,.800,,,0.7,0.7,,0.7,1.7
1966-67,25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1967-68,26,TOT,ABA,SF-SG,73,,35.0,6.3,14.5,.432,0.5,1.8,.261,5.8,12.7,.457,.448,5.5,7.5,.731,,,6.8,3.8,3.3,2.6,18.5
1967-68,26,NJA,ABA,SG,19,,23.1,5.1,13.3,.385,0.2,0.9,.176,4.9,12.4,.400,.391,3.4,5.3,.644,,,3.7,1.9,2.8,1.8,13.8
1967-68,26,PTP,ABA,SF,54,,39.2,6.7,14.9,.447,0.6,2.2,.274,6.1,12.8,.476,.467,6.2,8.3,.751,,,7.9,4.4,3.4,2.8,20.1
1968-69,27,MNP,ABA,SF,71,,33.3,4.9,11.7,.421,0.5,1.7,.314,4.4,10.1,.438,.443,4.0,5.8,.697,3.1,3.8,7.0,3.1,2.3,2.7,14.4
1969-70,28,TOT,ABA,SG,19,,16.3,2.5,5.6,.443,0.0,0.2,.000,2.5,5.4,.461,.443,2.4,3.4,.708,1.7,1.3,3.0,1.3,2.1,1.7,7.4
1969-70,28,PTP,ABA,,1,,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1969-70,28,MMF,ABA,SG,18,,17.0,2.6,5.8,.448,0.0,0.2,.000,2.6,5.6,.465,.448,2.6,3.6,.708,1.8,1.3,3.2,1.4,2.1,1.7,7.8
Career,NA,,TOT,,310,,26.6,4.6,10.7,.427,0.4,1.6,.281,4.3,9.9,.440,.438,3.6,5.2,.703,2.8,3.3,4.7,2.8,2.7,2.5,13.0
,NA,,ABA,,163,,32.1,5.2,12.2,.428,0.4,1.6,.281,4.8,10.7,.449,.446,4.5,6.3,.716,2.8,3.3,6.4,3.2,2.7,2.5,15.4
,NA,,NBA,,147,,20.5,3.8,9.0,.427,,,,3.8,9.0,.427,.427,2.7,3.9,.679,,,2.8,2.4,,2.4,10.3
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,NA,NYK,NBA,,130,,22.3,4.2,9.8,.430,,,,4.2,9.8,.430,.430,2.9,4.3,.681,,,3.1,2.6,,2.5,11.3
3 seasons,NA,"PTP,MNP",ABA,,126,,35.6,5.6,13.0,.433,0.5,1.9,.294,5.1,11.1,.457,.454,4.9,6.8,.725,3.1,3.8,7.3,3.6,2.8,2.8,16.7
1 season,NA,NJA,ABA,,19,,23.1,5.1,13.3,.385,0.2,0.9,.176,4.9,12.4,.400,.391,3.4,5.3,.644,,,3.7,1.9,2.8,1.8,13.8
1 season,NA,MMF,ABA,,18,,17.0,2.6,5.8,.448,0.0,0.2,.000,2.6,5.6,.465,.448,2.6,3.6,.708,1.8,1.3,3.2,1.4,2.1,1.7,7.8
1 season,NA,CIN,NBA,,11,,9.1,1.4,3.9,.349,,,,1.4,3.9,.349,.349,0.9,1.5,.588,,,1.2,0.6,,1.7,3.6
1 season,NA,PHI,NBA,,6,,3.3,0.5,1.5,.333,,,,0.5,1.5,.333,.333,0.7,0.8,.800,,,0.7,0.7,,0.7,1.7
