Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Manute Bol,,3.9,2.4,2,1.7,1.3,0.8,0.2,0.1,0,-0.2,NA
Cherokee Parks,91.6,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0.1,0,NA,NA
Marc Jackson,84.0,4.6,2.6,2,1.3,1.2,0.7,0.6,NA,NA,NA,NA
Carlos Rogers,82.8,4,2.2,2,0.9,0.9,0.5,0.5,0,NA,NA,NA
Jim Krebs,80.3,4.2,2.8,1.5,1.3,1.3,1.2,0.1,NA,NA,NA,NA
Jake Voskuhl,80.3,3.3,2.7,2.5,1.7,1,0.6,0.2,0,-0.3,NA,NA
Francisco Elson,80.1,3.1,2.9,1.8,1.8,1.6,0.6,0,0,0,NA,NA
Michael Doleac,78.8,3,2.2,1.9,1.7,1.5,1.2,0.6,0.3,0.3,0,NA
Duane Causwell,78.1,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0,0
Jim Barnes,77.5,3.4,2.9,2.4,2.1,2.1,1.1,0.3,NA,NA,NA,NA
Ekpe Udoh,77.4,3.2,2.7,2.1,1.6,0.7,0.3,0,NA,NA,NA,NA
