Season,Team,Lg,Salary
1990-91,Minnesota Timberwolves,NBA,"$615,000"
1991-92,Minnesota Timberwolves,NBA,"$760,000"
1992-93,Indiana Pacers,NBA,"$800,000"
1993-94,Indiana Pacers,NBA,"$1,694,000"
1994-95,Los Angeles Clippers,NBA,"$2,120,700"
1995-96,Los Angeles Clippers,NBA,"$2,521,000"
1996-97,Los Angeles Clippers,NBA,"$2,721,000"
1997-98,Los Angeles Clippers,NBA,"$2,820,710"
1998-99,Los Angeles Clippers,NBA,"$3,030,000"
1999-00,Los Angeles Clippers,NBA,"$500,000"
1999-00,Detroit Pistons,NBA,"$5,882"
Career,(may be incomplete),,"$17,588,292"
