Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Ernie DiGregorio,,1.3,1.2,0.6,0.1,-0.6
Pat Riley,80.2,1.3,1,0.6,0.3,-0.6
Norris Cole,76.3,1.4,1.2,0.6,0,-0.1
Steve Harris,76.0,1.3,1.2,0.8,0,-0.1
Gerald Green,74.2,1.6,1.2,0.5,0,-0.4
Antoine Wright,73.9,1.4,1.2,0.8,0.3,-0.5
Slick Leonard,72.2,1.5,1.3,0.4,0.1,-0.1
Chris Smith,67.9,1.2,1.1,0.9,NA,NA
Garrett Temple,67.9,1.5,1.2,0.4,0.3,-0.4
Ronald Murray,62.3,1.7,1.3,0.7,-0.3,-0.3
Dante Exum,60.6,1.2,1,0.7,-0.1,NA
