Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Ernie DiGregorio,,1.3,1.2,0.6,0.1,-0.6,NA,NA
Steve Harris,76.0,1.3,1.2,0.8,0,-0.1,NA,NA
Norris Cole,72.7,1.4,1.2,0.6,0,-0.1,-0.1,NA
Chris Smith,67.9,1.2,1.1,0.9,NA,NA,NA,NA
Dante Exum,60.6,1.2,1,0.7,-0.1,NA,NA,NA
Jimmy O'Brien,59.7,1.4,1.4,1,0.2,NA,NA,NA
Steve Alford,58.6,1.4,0.9,0.6,0.3,NA,NA,NA
Sidney Lowe,57.6,1.7,1.5,0.5,0.3,NA,NA,NA
Steve Henson,57.5,1.2,1.1,1,0.2,0.1,0,0
Corky Devlin,56.5,1.8,1.2,0.8,NA,NA,NA,NA
Richie Regan,56.5,1.6,1.5,0.4,NA,NA,NA,NA
