Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,23,BUF,NBA,PG,6,NA,240,37,86,0.43,8,9,0.889,3,13,16,52,1,0,NA,14,82
1975-76,25,BUF,NBA,PG,9,NA,217,30,62,0.484,8,8,1,1,12,13,45,5,2,NA,29,68
Career,NA,,NBA,,15,NA,457,67,148,0.453,16,17,0.941,4,25,29,97,6,2,NA,43,150
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BUF,NBA,,15,NA,457,67,148,0.453,16,17,0.941,4,25,29,97,6,2,NA,43,150
