Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Ken Bannister,,0.7,0.4,0.2,0.1,-0.8,NA
Bill Curley,18.9,0.7,0.5,0.2,0.2,0,NA
Ansu Sesay,16.3,0.8,0.5,0.2,-0.1,NA,NA
Jerrod Mustaf,14.8,0.8,0.5,0.4,0,NA,NA
Michael Smith,13.9,0.7,0.3,0.3,NA,NA,NA
Bob Peterson,11.0,0.9,0.4,0.2,NA,NA,NA
Randy White,10.4,0.8,0.7,0.4,0.2,-0.2,NA
Obinna Ekezie,9.5,0.7,0.5,0.4,0.2,NA,NA
Cal Bowdler,8.6,1,0.5,0.2,NA,NA,NA
Christian Wood,8.6,0.8,0.3,0.3,NA,NA,NA
Ronald Dupree,8.3,1,0.5,0.3,0.1,0,0
