Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Ken Bannister,,0.7,0.4,0.2,0.1,-0.8
Bob Thornton,30.7,0.9,0.4,0.3,0.1,-0.3
Bill Curley,18.9,0.7,0.5,0.2,0.2,0
Ansu Sesay,16.3,0.8,0.5,0.2,-0.1,NA
Jerrod Mustaf,14.8,0.8,0.5,0.4,0,NA
Michael Smith,13.9,0.7,0.3,0.3,NA,NA
Antonio Lang,12.3,0.8,0.7,0.1,0.1,-0.1
Hank McDowell,11.2,0.7,0.4,0.4,0.2,0.1
Bob Peterson,11.0,0.9,0.4,0.2,NA,NA
Ronald Dupree,10.4,1,0.5,0.3,0.1,0
Randy White,10.4,0.8,0.7,0.4,0.2,-0.2
