Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Solomon Jones,,1.9,1.6,0.8,0.5,0.3,0,0,-0.1
Ben Coleman,87.8,2,1.8,0.8,0.5,0,NA,NA,NA
Reggie Slater,85.1,1.8,1.5,0.8,0.5,0.4,0.2,0.1,-0.1
Henry Walker,81.8,1.9,1.1,0.9,0.5,0.5,NA,NA,NA
Donnell Harvey,81.7,2,1.8,0.7,0.2,0.1,NA,NA,NA
Bob Brannum,81.4,2,1.6,1.1,0.8,0,NA,NA,NA
Bob Portman,81.1,1.9,1.2,0.8,0.5,NA,NA,NA,NA
Tony Brown,80.5,1.8,1.3,0.9,0.5,0.2,0.2,0,NA
Cliff Meely,79.7,1.8,1.2,1,0.4,0.2,NA,NA,NA
Pete Verhoeven,78.7,2.1,1.2,0.8,0.7,0.4,0,NA,NA
Rafael Addison,78.6,1.5,1.5,0.9,0.4,0.4,0.2,NA,NA
