Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Al-Farouq Aminu,,5.8,4.2,4,3.3,3.1,3.1,1.9,1.4,0.7
Ken Norman,91.4,5.2,4.8,4,4,3.2,2.9,1.9,1.1,0.6
Bingo Smith,90.8,6.1,4.2,4.2,3.7,3.3,2.5,2.4,1.6,1.1
Austin Croshere,90.7,5.4,4.1,4.1,3.4,3.2,2.6,2,0.3,0
Patrick Patterson,90.7,6.1,4.1,3.8,3.6,3.3,2.6,2.4,1.6,1.1
Tim Thomas,90.0,5.5,4.1,3.8,3.4,2.9,2.2,2.2,2.2,0.9
Phil Hubbard,89.9,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.2
Malik Rose,89.9,5.2,4.4,3.8,3.4,3.3,2.6,2.6,1.1,0.4
Phil Jackson,89.3,5.6,4.8,4.2,3.2,2.5,2.5,1.7,0.9,0.5
Billy Owens,89.2,5.7,5.6,3.7,3.2,3.2,2.8,2.2,1.2,0.2
Matt Barnes,88.4,5.9,4.3,3.7,3,3,2.3,1,0.7,0.4
