Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1978-79,22,NJN,NBA,SF,2,NA,81,9.3,18.7,0.5,NA,NA,NA,9.3,18.7,0.5,4.4,10.7,0.417,2.2,2.7,4.9,3.1,1.8,0,2.7,4.4,23.1
1982-83,26,NYK,NBA,SF,6,NA,184,11,19,0.577,0.2,0.6,0.333,10.8,18.4,0.585,5.5,6.8,0.8,1.6,3.1,4.7,2.5,0.4,0,2,3.1,27.6
1983-84,27,NYK,NBA,SF,12,NA,477,12.2,21.3,0.574,0,0.1,0,12.2,21.2,0.577,7,9.3,0.756,2.1,3.5,5.6,2.7,1.1,0.5,2.3,3.6,31.5
1987-88,31,WSB,NBA,SF,5,4,168,5.6,11.4,0.491,0,0,NA,5.6,11.4,0.491,3.6,4.5,0.81,0.6,1.7,2.4,1.9,0.6,0,3,3.6,14.8
1992-93,36,NJN,NBA,SF,3,1,24,6,10.5,0.571,0,0,NA,6,10.5,0.571,0,0,NA,1.5,0,1.5,0,1.5,0,1.5,4.5,12
Career,NA,,NBA,,28,5,934,10.4,18.5,0.559,0,0.2,0.25,10.3,18.4,0.562,5.7,7.8,0.729,1.7,2.9,4.7,2.5,0.9,0.2,2.4,3.6,26.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYK,NBA,,18,NA,661,11.9,20.6,0.575,0.1,0.2,0.25,11.8,20.4,0.579,6.6,8.6,0.766,2,3.4,5.3,2.7,0.9,0.3,2.2,3.5,30.4
2 seasons,NA,NJN,NBA,,5,1,105,8.6,16.8,0.51,0,0,NA,8.6,16.8,0.51,3.4,8.2,0.417,2.1,2.1,4.1,2.4,1.7,0,2.4,4.5,20.6
1 season,NA,WSB,NBA,,5,4,168,5.6,11.4,0.491,0,0,NA,5.6,11.4,0.491,3.6,4.5,0.81,0.6,1.7,2.4,1.9,0.6,0,3,3.6,14.8
