Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Rodney McCray,,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9
Jack Marin,93.8,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,3.1,2.5
Lamar Odom,93.4,9.7,9.2,8.4,6.9,6.5,4.7,4.7,3.2,2.2,0.7
Wally Szczerbiak,93.2,8.7,8,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6
Don Nelson,92.7,8.8,8.3,7.5,7.4,6.1,5.4,3.3,2.3,2.1,0.4
Tayshaun Prince,92.2,9.4,8,7.5,7.5,7,6.2,3.3,3.2,2.1,0.8
Hot Rod Williams,91.1,9.2,8.7,7.7,7.5,7.4,5.7,5.3,4.5,2.8,2.4
Greg Ballard,90.9,9.4,7.9,6.9,6.9,6,5.6,3.9,3.6,2,1.7
Mickey Johnson,90.8,8.5,8.3,7.3,7.2,5.5,5.3,4.1,3.7,3.5,0.7
Sean Elliott,89.8,8.8,8.7,8.4,7.7,6.1,4.6,3.5,1.5,1.4,1.4
Dan Roundfield,88.9,9.1,8.7,7.4,7.1,7,6.9,6.5,3.9,2.7,1.3
