Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Xavier Henry,,0.3,0.2,0.2,0,-0.1
Jorge Gutiérrez,86.2,0.3,0.3,0.2,NA,NA
Drew Barry,68.4,0.3,0.2,0.1,NA,NA
Rusty LaRue,67.9,0.3,0.3,0.1,-0.1,-0.1
Julyan Stone,65.8,0.4,0.3,0.2,0.1,NA
Milt Williams,62.6,0.4,0.2,0.1,0.1,NA
Lance Blanks,62.0,0.4,0.2,0.1,NA,NA
Corey Gaines,61.5,0.6,0.3,0.2,0.1,-0.1
Jordan McRae,57.3,0.5,0.4,0.2,NA,NA
Briante Weber,57.3,0.4,0.3,0,NA,NA
Kennard Winchester,57.3,0.5,0.4,0.3,NA,NA
