Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Byron Irvin,,1.2,0.9,0,NA,NA
Sean Kilpatrick,81.9,1.4,1,0.1,0.1,NA
Salim Stoudamire,79.5,1.2,0.8,0.3,NA,NA
Ollie Mack,79.2,1.6,1,-0.1,NA,NA
Mel Peterson,79.2,1.3,1,0,-0.2,NA
Bobby Washington,76.5,1.5,0.7,0,NA,NA
Phil Rollins,72.5,1.1,0.7,0.1,NA,NA
Nick Jones,71.5,1.3,0.7,0.2,0,-0.2
Tony Bennett,71.1,0.9,0.7,0,NA,NA
Rod Foster,70.9,1.6,0.9,-0.3,NA,NA
Mike D'Antoni,68.9,1,0.8,0.3,0,NA
