Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Joe Holland,,1.2,0.6,0.2,NA,NA,NA
Tremaine Fowlkes,85.8,1.2,0.5,0.4,0,NA,NA
Cal Bowdler,85.1,1,0.5,0.2,NA,NA,NA
Winston Bennett,84.8,1.1,0.3,0.2,NA,NA,NA
Bob McCann,81.9,1.3,0.6,0.1,0.1,0,NA
Viktor Khryapa,81.8,1.3,0.4,0.3,0,NA,NA
Chris Singleton,80.4,1.5,0.5,0.2,NA,NA,NA
Alec Kessler,79.3,1.2,0.8,0.1,-0.1,NA,NA
James Wilkes,79.1,1.1,0.8,0.1,NA,NA,NA
Ronald Dupree,79.0,1,0.5,0.3,0.1,0,0
Patrick McFarland,78.9,1.3,0.7,0.4,NA,NA,NA
