Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Phil Rollins,,1.1,0.7,0.1
Brooks Thompson,91.6,1.1,0.6,0.1
Mike D'Antoni,88.3,1,0.8,0.3
Kris Dunn,85.6,0.9,0.6,0.1
Tony Bennett,85.0,0.9,0.7,0
Jimmer Fredette,85.0,1.1,0.8,0.3
Nate Hawthorne,83.8,1.1,0.5,0.1
Tarence Kinsey,83.6,0.9,0.6,0
Litterial Green,82.7,0.8,0.8,0.1
Norris Cole,82.4,1.2,0.6,0
Salim Stoudamire,82.3,1.2,0.8,0.3
