,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1958-59,25,TOT,NBA,,8,,7,8,,,,23
1958-59,25,PHW,NBA,,8,,4,7,,,3,17
1958-59,25,CIN,NBA,,8,,7,8,,,,23
1959-60,26,CIN,NBA,,11,,7,11,,,6,27
1960-61,27,TOT,NBA,,7,,7,,,,,17
1960-61,27,STL,NBA,,7,,0,3,,,4,14
1960-61,27,CIN,NBA,,2,,2,,,,,5
1960-61,27,NYK,NBA,,7,,7,,,,,17
Career,,,,,11,,7,,,,,27
3 Seasons,,CIN,NBA,,11,,7,,,,,27
1 Season,,NYK,NBA,,7,,7,,,,,17
1 Season,,PHW,NBA,,8,,4,7,,,3,17
1 Season,,STL,NBA,,7,,0,3,,,4,14
