Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Phil Rollins,,1.1,0.7,0.1,NA,NA
Mike D'Antoni,86.7,1,0.8,0.3,0,NA
Bryan Warrick,86.0,1,0.5,0.1,0,NA
Kris Dunn,85.6,0.9,0.6,0.1,NA,NA
Tony Bennett,85.0,0.9,0.7,0,NA,NA
Brooks Thompson,84.5,1.1,0.6,0.2,0.1,NA
Nate Hawthorne,83.8,1.1,0.5,0.1,NA,NA
Tarence Kinsey,83.6,0.9,0.6,0,NA,NA
Salim Stoudamire,82.3,1.2,0.8,0.3,NA,NA
Zoran Planinić,78.9,0.8,0.7,0.1,NA,NA
Litterial Green,78.2,0.8,0.8,0.1,0,-0.1
