Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Neil Johnston,,18.3,15.4,15.3,13.9,13.7,11.3,3.4,0.7
Bill Russell,83.8,17.3,15.5,13.8,13.5,13,12.9,11.3,6.2
Bob McAdoo,80.9,17.8,15.3,12.3,10.9,9.6,5.8,3.8,2
Moses Malone,80.8,15.4,14.1,13.7,11.9,10.2,8.7,6.1,1.9
Ed Macauley,79.8,15.9,14.6,14.5,13.8,10.6,8.9,8.3,7.8
David Robinson,79.0,20,18.3,17.5,17,15.1,13.9,13.2,0.7
Shaquille O'Neal,78.2,18.6,16.9,14,10.4,10.2,9,8,6.9
George Mikan,78.0,23.4,21.1,20.9,14.6,14.4,12.7,1.6,NA
Walt Bellamy,77.4,16.3,14.4,13.7,12.1,11.1,10.4,9.5,8.8
Artis Gilmore,76.7,19.8,18.5,16.2,15.1,12.7,12.7,12.2,11.5
Dan Issel,75.4,15.8,13.8,13.5,12.5,11.1,10.9,10.7,9.3
