Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1975-76,22,KCK,NBA,SF,31,163,10,0.455,0.702,5.6,12.7,9.1,7.4,1.1,0.3,NA,NA,NA,0,0.1,0,0.014,NA,-3.4,-1,-4.4,-0.1
1976-77,23,KCK,NBA,SF,29,162,14.7,0.549,0.243,4.9,12.6,8.6,7.2,0.8,0.3,NA,NA,NA,0.3,0.1,0.4,0.117,NA,-1.1,-1,-2,0
1977-78,24,TOT,NBA,SF,5,24,6.7,0.308,0,12.8,25.2,19.1,0,0,0,0,21,NA,0,0,0,-0.027,NA,-4.6,-0.4,-5,0
1977-78,24,KCK,NBA,SF,1,7,21.4,1,0,29.1,44,36.5,0,0,0,0,5.4,NA,0,0,0,0.318,NA,-4.2,0,-4.1,0
1977-78,24,BOS,NBA,SF,4,17,0.6,0.25,0,6.1,17.5,12,0,0,0,0,27.3,NA,-0.1,0,-0.1,-0.169,NA,-4.7,-0.6,-5.4,-0.1
1978-79,25,SDC,NBA,SF,29,413,6,0.428,0.233,3.9,8,5.9,7.1,1.3,0.2,15.4,10.8,NA,0,0.1,0,0.003,NA,-2.7,-0.6,-3.3,-0.1
Career,NA,,NBA,,94,762,8.7,0.466,0.323,4.7,10.5,7.6,7,1.1,0.3,13.8,11.3,NA,0.2,0.3,0.5,0.029,NA,-2.6,-0.7,-3.3,-0.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,KCK,NBA,,61,332,12.5,0.511,0.424,5.8,13.3,9.4,7.2,1,0.3,0,5.4,NA,0.3,0.2,0.5,0.071,NA,-2.3,-0.9,-3.2,-0.1
1 season,NA,SDC,NBA,,29,413,6,0.428,0.233,3.9,8,5.9,7.1,1.3,0.2,15.4,10.8,NA,0,0.1,0,0.003,NA,-2.7,-0.6,-3.3,-0.1
1 season,NA,BOS,NBA,,4,17,0.6,0.25,0,6.1,17.5,12,0,0,0,0,27.3,NA,-0.1,0,-0.1,-0.169,NA,-4.7,-0.6,-5.4,-0.1
