Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1975-76,22,KCK,NBA,SF,31,NA,163,16,47,0.34,24,33,0.727,9,20,29,9,4,1,NA,18,56
1976-77,23,KCK,NBA,SF,29,NA,162,35,70,0.5,15,17,0.882,8,19,27,8,3,1,NA,17,85
1977-78,24,TOT,NBA,SF,5,NA,24,4,13,0.308,0,0,NA,3,6,9,0,0,0,0,3,8
1977-78,24,KCK,NBA,SF,1,NA,7,1,1,1,0,0,NA,2,3,5,0,0,0,0,2,2
1977-78,24,BOS,NBA,SF,4,NA,17,3,12,0.25,0,0,NA,1,3,4,0,0,0,0,1,6
1978-79,25,SDC,NBA,SF,29,NA,413,36,90,0.4,13,21,0.619,15,31,46,25,12,2,18,37,85
Career,NA,,NBA,,94,NA,762,91,220,0.414,52,71,0.732,35,76,111,42,19,4,18,75,234
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,KCK,NBA,,61,NA,332,52,118,0.441,39,50,0.78,19,42,61,17,7,2,0,37,143
1 season,NA,SDC,NBA,,29,NA,413,36,90,0.4,13,21,0.619,15,31,46,25,12,2,18,37,85
1 season,NA,BOS,NBA,,4,NA,17,3,12,0.25,0,0,NA,1,3,4,0,0,0,0,1,6
