Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1975-76,22,KCK,NBA,SF,31,NA,163,4.5,13.1,0.34,6.7,9.2,0.727,2.5,5.6,8.1,2.5,1.1,0.3,NA,5,15.6,NA,NA,102
1976-77,23,KCK,NBA,SF,29,NA,162,9.8,19.5,0.5,4.2,4.7,0.882,2.2,5.3,7.5,2.2,0.8,0.3,NA,4.7,23.7,NA,NA,103
1977-78,24,TOT,NBA,SF,5,NA,24,7.5,24.4,0.308,0,0,NA,5.6,11.3,16.9,0,0,0,0,5.6,15,NA,81,102
1977-78,24,KCK,NBA,SF,1,NA,7,6.3,6.3,1,0,0,NA,12.7,19,31.7,0,0,0,0,12.7,12.7,NA,201,97
1977-78,24,BOS,NBA,SF,4,NA,17,8,32,0.25,0,0,NA,2.7,8,10.7,0,0,0,0,2.7,16,NA,64,104
1978-79,25,SDC,NBA,SF,29,NA,413,3.9,9.8,0.4,1.4,2.3,0.619,1.6,3.4,5,2.7,1.3,0.2,2,4,9.3,NA,94,111
Career,NA,,NBA,,94,NA,762,5.4,13.1,0.414,3.1,4.2,0.732,2.1,4.5,6.6,2.5,1.1,0.2,1.1,4.4,13.9,NA,93,107
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,KCK,NBA,,61,NA,332,7.1,16.1,0.441,5.3,6.8,0.78,2.6,5.7,8.3,2.3,1,0.3,0,5,19.5,NA,201,102
1 season,NA,SDC,NBA,,29,NA,413,3.9,9.8,0.4,1.4,2.3,0.619,1.6,3.4,5,2.7,1.3,0.2,2,4,9.3,NA,94,111
1 season,NA,BOS,NBA,,4,NA,17,8,32,0.25,0,0,NA,2.7,8,10.7,0,0,0,0,2.7,16,NA,64,104
