Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bob Bigelow,,0.4,0,0,0
Pops Mensah-Bonsu,77.6,0.3,0,0,0
Jarnell Stokes,68.1,0.5,0.1,0.1,NA
Ken Durrett,64.6,0.5,0.1,0,0
Scooter McCray,64.4,0.3,0.1,0,NA
Joe Courtney,62.6,0.4,0.1,0,-0.1
Jordan Mickey,59.2,0.3,0.1,0.1,NA
Josh Huestis,57.5,0.5,0.2,0,NA
Dan Langhi,53.2,0.4,0,-0.1,-0.1
Anthony Frederick,52.8,0.5,0.2,0,NA
David Vaughn,50.3,0.4,0.2,0.1,-0.1
