,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1975-76,22,KCK,NBA,,3,,4,6,,,,,,,,,8,
1976-77,23,KCK,NBA,,5,,4,4,,,,,,,,,11,
1977-78,24,TOT,NBA,,2,,0,0,,,,,,,,,4,
1977-78,24,KCK,NBA,,1,,0,0,,,,,,,,,2,
1977-78,24,BOS,NBA,,2,9,0,0,,,3,0,,,,,4,
1978-79,25,SDC,NBA,,5,,3,4,,,,,,,,,11,
Career,,,,,5,,4,6,,,,,,,,,11,
3 Seasons,,KCK,NBA,,5,,4,6,,,,,,,,,11,
1 Season,,SDC,NBA,,5,,3,4,,,,,,,,,11,
1 Season,,BOS,NBA,,2,9,0,0,,,3,0,,,,,4,
