Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Michael Smith,,0.7,0.3,0.3,NA,NA
Christian Wood,88.9,0.8,0.3,0.3,NA,NA
Jerrod Mustaf,79.1,0.8,0.5,0.4,0,NA
Jamie Watson,78.1,0.8,0.3,0.1,0,NA
Scott Roth,77.5,0.7,0.3,0.1,NA,NA
Troy Williams,76.8,0.5,0.4,0.4,NA,NA
Ansu Sesay,75.1,0.8,0.5,0.2,-0.1,NA
Bob Peterson,74.9,0.9,0.4,0.2,NA,NA
Obinna Ekezie,73.2,0.7,0.5,0.4,0.2,NA
Alex Poythress,70.7,0.5,0.3,0.1,NA,NA
Bill Curley,69.5,0.7,0.5,0.2,0.2,0
