Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Hub Reed,,2.8,2,1.7,1.3,1,0.6,0
Jim McIlvaine,88.6,3,1.9,1.8,1.5,0.8,0.3,0.1
Paul Mokeski,83.8,3.4,1.7,1.6,1.4,0.9,0.8,-0.1
Jake Tsakalidis,82.4,2.8,2.8,1.3,1.2,0.9,0.6,0.3
Michael Doleac,82.1,3,2.2,1.9,1.7,1.5,0.3,0.3
Steven Hunter,82.1,2.8,2.6,2.5,1,0.9,0.6,0.1
Bill Wennington,81.2,3.5,2.1,1.3,1.2,0.9,0.5,0.4
Cole Aldrich,80.3,3.5,2.2,1.3,1.2,0.6,0.6,0.2
Cherokee Parks,79.9,3.8,2.2,1.9,1.4,0.9,0.2,0
Sean Rooks,79.7,3,2.2,1.8,1.8,1.5,1.1,0.3
Gene Wiley,77.9,2.8,2.4,1.8,1.3,-0.1,NA,NA
