Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1958-59,22,STL,NBA,C,65,950,11.5,0.467,0.224,NA,NA,NA,NA,NA,0.8,0.9,1.7,0.088
1959-60,23,TOT,NBA,PF-C,71,1820,12.9,0.494,0.306,NA,NA,NA,NA,NA,2.4,0.5,2.8,0.075
1959-60,23,STL,NBA,C,2,17,0.7,0.333,0,NA,NA,NA,NA,NA,0,0,0,-0.028
1959-60,23,CIN,NBA,PF,69,1803,13,0.495,0.308,NA,NA,NA,NA,NA,2.4,0.5,2.8,0.076
1960-61,24,CIN,NBA,C,75,1216,10.2,0.475,0.335,NA,NA,NA,NA,NA,0.9,0.1,1,0.039
1961-62,25,CIN,NBA,C,80,1446,8.8,0.47,0.178,NA,NA,NA,NA,NA,0.6,0.6,1.3,0.042
1962-63,26,CIN,NBA,C,80,1299,11.2,0.502,0.23,NA,NA,NA,NA,NA,1.2,0.8,2,0.074
1963-64,27,LAL,NBA,C,46,386,6.5,0.389,0.165,NA,NA,NA,NA,NA,-0.3,0.3,0,-0.006
1964-65,28,DET,NBA,C,62,753,8.3,0.422,0.262,NA,NA,NA,6.4,NA,-0.3,0.8,0.6,0.036
Career,NA,,NBA,,479,7870,10.5,0.475,0.254,NA,NA,NA,6.4,NA,5.4,4,9.3,0.057
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,CIN,NBA,,304,5764,11,0.486,0.263,NA,NA,NA,NA,NA,5.1,1.9,7.1,0.059
2 seasons,NA,STL,NBA,,67,967,11.3,0.465,0.222,NA,NA,NA,NA,NA,0.8,0.9,1.7,0.086
1 season,NA,DET,NBA,,62,753,8.3,0.422,0.262,NA,NA,NA,6.4,NA,-0.3,0.8,0.6,0.036
1 season,NA,LAL,NBA,,46,386,6.5,0.389,0.165,NA,NA,NA,NA,NA,-0.3,0.3,0,-0.006
