Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Hub Reed,,2.8,2,1.7,1.3,1,0.6,0,NA,NA
Jim McIlvaine,88.6,3,1.9,1.8,1.5,0.8,0.3,0.1,NA,NA
Jake Tsakalidis,82.4,2.8,2.8,1.3,1.2,0.9,0.6,0.3,NA,NA
Steven Hunter,81.7,2.8,2.6,2.5,1,0.9,0.6,0.1,0.1,NA
Cole Aldrich,80.2,3.5,2.2,1.3,1.2,0.6,0.6,0.2,0,NA
Gene Wiley,77.9,2.8,2.4,1.8,1.3,-0.1,NA,NA,NA,NA
Francisco Elson,77.8,3.1,2.9,1.8,1.8,1.6,0.6,0,0,0
Ekpe Udoh,77.6,3.2,2.7,2.1,1.6,0.7,0.3,0,NA,NA
Cherokee Parks,77.1,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0.1,0
Stanley Roberts,75.6,3.2,2.1,1.8,0.7,0.5,0,-0.1,-0.1,NA
Jeff Wilkins,74.1,2.4,2.3,2.3,1,0.5,0.3,NA,NA,NA
