,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1958-59,22,STL,NBA,,9,,5,6,,,,19
1959-60,23,TOT,NBA,,10,,7,10,,,6,23
1959-60,23,STL,NBA,,1,,0,0,,0,2,2
1959-60,23,CIN,NBA,,10,,7,10,,,6,23
1960-61,24,CIN,NBA,,12,,7,,,,,28
1961-62,25,CIN,NBA,,6,,5,,,,,15
1962-63,26,CIN,NBA,,14,,4,,,,,28
1963-64,27,LAL,NBA,,7,,2,2,,,,15
1964-65,28,DET,NBA,,6,,3,5,,,,13
Career,,,,,14,,7,,,,,28
4 Seasons,,CIN,NBA,,14,,7,,,,,28
2 Seasons,,STL,NBA,,9,,5,6,,,,19
1 Season,,DET,NBA,,6,,3,5,,,,13
1 Season,,LAL,NBA,,7,,2,2,,,,15
