Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Phil Smith,,9.4,7,6.3,5.2,4.8,2.9,2.2,1.7,1.6,NA,NA
Steve Jones,89.4,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,NA,NA
Eddie Johnson,88.9,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5,0.8,NA
John Wall,86.8,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,NA,NA
Kenny Smith,86.4,9,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2,0.6,NA
Lucius Allen,86.2,8.2,7.6,7.6,4.9,3.9,3.6,2.2,2.1,1.9,0.1,NA
Micheal Ray Richardson,86.1,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA,NA
Derek Anderson,85.2,9.9,8.1,5.3,5.3,3.6,3.3,2.9,2.1,1.6,1.3,0.3
Eric Bledsoe,85.2,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2,NA,NA
Clem Haskins,85.1,6.8,6.4,6.1,5.3,3.4,2.9,2.3,1.6,1,NA,NA
Norm Nixon,85.1,9.6,6.7,6.6,5.5,5.4,4.5,3.9,3.7,2,-0.4,NA
