Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Phil Smith,,9.4,7,6.3,5.2,4.8,2.9,2.2,1.7,1.6
Jerry Stackhouse,90.9,9.2,7.3,6.5,5.8,4.7,2.1,1.9,1.2,0.2
Kendall Gill,90.6,8.8,6.7,5.9,4.7,4.6,3.2,2.9,2.6,1.8
Eddie Johnson,90.0,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5
Steve Jones,89.4,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8
Derek Anderson,88.9,9.9,8.1,5.3,5.3,3.6,3.3,2.1,1.6,1.3
Mike Newlin,87.9,8.5,6.5,5.9,5.8,5.2,4.7,2.9,1.8,1.6
Jay Humphries,87.5,8.6,7.6,5.8,4.9,4.8,4.5,3.5,1.9,1.8
Kenny Smith,87.2,9,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2
John Wall,86.8,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2
Muggsy Bogues,86.7,8.6,6.7,6.4,5.9,4.8,4.8,2.6,2.3,0
