Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Stew Johnson,,4.3,3.6,2.7,2.1,1.8,-0.3,-0.3,-0.4,-1.5
Aaron James,75.6,4.3,2.9,2.2,2.1,1.7,NA,NA,NA,NA
Linas Kleiza,74.8,4.7,3.6,2.8,1.5,1.2,0.1,-0.3,NA,NA
T.J. Warren,74.8,4.1,3.4,2.2,2.1,1.1,NA,NA,NA,NA
Danny Vranes,74.7,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA,NA
John Brown,74.3,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA,NA
Tyrus Thomas,73.8,4.6,2.6,2.4,2.2,1.8,0.1,-0.2,-0.6,NA
Nick Weatherspoon,73.5,3.7,3.6,2.6,2.4,2.1,0.6,0.1,NA,NA
Tom Abernethy,71.8,4.1,3.7,3.1,2,0.4,NA,NA,NA,NA
Kwame Brown,70.0,4.9,3.6,2.5,1.9,1.9,0.8,0.6,0.6,-0.1
Ron Behagen,69.7,4.3,2.4,2.2,2,1.8,0.2,0.1,NA,NA
