Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Brook Steppe,,1.3,1.1,1,0.7,0.6
Michael Carter-Williams,85.9,1.3,1.2,0.9,0.8,0.2
Howard Komives,84.9,1.5,1.4,1,0.7,0.3
John Warren,75.9,1.7,0.9,0.8,0.5,0.3
Eddie House,75.5,1.8,0.9,0.7,0.7,0.4
Nik Stauskas,75.3,1.4,1.1,0.5,0.5,0.3
Raul Neto,74.0,1.8,1.1,0.9,0.7,NA
Rex Walters,73.9,1.6,1.6,1.2,0.9,0.4
Troy Daniels,73.6,1.4,1.3,1.1,0.2,0.2
Steve Henson,72.4,1.2,1.1,1,0.2,0
John Wetzel,72.2,2,1.1,0.7,0.5,0.5
