Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Brook Steppe,,1.3,1.1,1,0.7,0.6,NA,NA,NA,NA,NA,NA,NA
Michael Carter-Williams,85.5,1.3,1.2,0.9,0.8,0.8,0.2,NA,NA,NA,NA,NA,NA
John Warren,75.9,1.7,0.9,0.8,0.5,0.3,NA,NA,NA,NA,NA,NA,NA
Nik Stauskas,75.3,1.4,1.1,0.5,0.5,0.3,NA,NA,NA,NA,NA,NA,NA
Ronnie Price,75.2,1.4,1.1,0.9,0.7,0.4,0.1,0.1,0.1,0,-0.1,-0.2,-0.7
Raul Neto,74.0,1.8,1.1,0.9,0.7,NA,NA,NA,NA,NA,NA,NA,NA
Troy Daniels,73.8,1.4,1.3,1.1,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA
Steve Henson,73.8,1.2,1.1,1,0.2,0.1,0,0,NA,NA,NA,NA,NA
Sergio Rodríguez,70.8,1.7,1.2,0.9,0.7,-0.2,NA,NA,NA,NA,NA,NA,NA
Pat Riley,70.4,1.3,1.1,1,1,0.6,0.3,0,-0.3,-0.6,NA,NA,NA
Kevin McKenna,70.2,1.7,0.9,0.7,0.6,0.5,-0.3,NA,NA,NA,NA,NA,NA
