Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Glen Gondrezick,,3.6,3.1,3.1,2.7,2.5,0.9
Willie Norwood,92.8,3.8,3.5,3.3,3,2.6,1.1
Tom McMillen,90.9,3.9,2.9,2.9,2.5,2.2,0.8
Edgar Jones,89.9,3.4,3.4,2.6,2.4,2.3,0.9
Maurice Harkless,89.8,4.2,3.2,2.9,2.8,2.4,0.3
Dwight Jones,89.6,3.9,3.8,3.1,2.9,2.6,1.3
Rodney Rogers,88.7,3.9,3.3,2.9,2.3,2,1.2
Lorenzen Wright,88.3,3.2,3.2,3.1,2.2,2.2,1.4
John Tresvant,87.7,4.1,3.5,3.3,2.7,2.6,0.1
Antoine Carr,87.6,3.8,3.5,3.3,2.2,2.1,0.7
Andrew DeClercq,87.3,3.4,3.1,2.9,2.5,1.6,0.4
