Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Glen Gondrezick,,3.6,3.1,3.1,2.7,2.5,0.9,NA,NA
Willie Norwood,90.7,3.8,3.5,3.3,3,2.6,1.1,0.5,NA
Edgar Jones,89.9,3.4,3.4,2.6,2.4,2.3,0.9,NA,NA
Jumaine Jones,89.9,3.7,3.3,3,2.9,2.3,0.1,0,-0.2
Nick Weatherspoon,87.0,3.7,3.6,2.6,2.4,2.1,0.6,0.1,NA
Craig Smith,86.6,3.9,3.5,3.1,3,1.5,1,NA,NA
Derrick Williams,86.6,3.6,3,2.6,2.1,1.8,1.1,0,NA
Maurice Harkless,82.8,4.2,3.4,3.2,2.9,2.8,2.4,0.3,NA
Mike Scott,82.3,3.2,2.7,2.6,2.5,1.6,0.9,-0.1,NA
Howard Porter,81.1,4.1,3.9,2.7,2.4,2.4,1.1,1,NA
Kenny Walker,80.6,4.7,4,3.1,2.7,1.9,1.3,0.1,NA
