Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Rusty LaRue,,0.3,0.3,0.1,-0.1,-0.1
Elliot Williams,68.5,0.3,0.3,0.1,0,NA
Xavier Henry,67.9,0.3,0.2,0.2,0,-0.1
Drew Barry,67.0,0.3,0.2,0.1,NA,NA
Jorge Gutiérrez,63.6,0.3,0.3,0.2,NA,NA
Lance Blanks,58.8,0.4,0.2,0.1,NA,NA
Briante Weber,57.8,0.4,0.3,0,NA,NA
Milt Williams,55.8,0.4,0.2,0.1,0.1,NA
Julyan Stone,53.7,0.4,0.3,0.2,0.1,NA
James Young,51.5,0.3,0.3,0.1,0.1,NA
Anthony Roberson,48.4,0.2,0.2,0.1,NA,NA
