Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jimmy Walker,,6.2,6.2,6.1,5.5,5.2,5.1,4.8,3.6,0.4
Michael Cooper,95.7,6.5,6.1,5.8,5.2,5,5,4.6,4,0
Jeff Malone,93.4,6.6,6.1,5.7,5.6,5.6,5.2,5.1,4.1,1.3
John Starks,89.2,7.5,6.4,6.2,5.8,5.8,5.7,4.6,2.4,0
Nate McMillan,89.1,6.5,6,5.6,5.1,4.9,4.4,4.1,3.7,2.8
Brian Winters,88.0,6.2,6,5.5,5.1,5,4.2,3.5,2.1,1.1
Dick McGuire,87.6,6.6,6.3,5.3,5.3,4.7,4.5,4,2.1,1.3
Damon Stoudamire,87.1,7.6,6.7,6.6,6.1,5.9,4.7,4.3,3.6,1.6
Nick Van Exel,86.8,7.2,7.1,6.4,6.4,5.7,4.9,4.4,3.4,2.2
David Wesley,86.0,7.6,6.3,6.1,6.1,5.8,4.8,2.6,2.6,0.6
Jameer Nelson,85.8,6.6,6,5.6,5,4.9,4,3.5,2.5,2.1
