,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1967-68,23,DET,NBA,,10,,13,13,,,,,,,,27
1968-69,24,DET,NBA,,13,,15,16,,,,,,,,31
1969-70,25,DET,NBA,,13,,14,16,,,,,,,,33
1970-71,26,DET,NBA,,12,,14,15,,,,,,,,38
1971-72,27,DET,NBA,,17,,16,20,,,,,,,,44
1972-73,28,HOU,NBA,,14,,12,12,,,,,,,,32
1973-74,29,TOT,NBA,,15,,11,14,,,,,,,,38
1973-74,29,HOU,NBA,,3,,0,1,,,1,4,0,0,,6
1973-74,29,KCO,NBA,,15,,11,14,,,,,,,,38
1974-75,30,KCO,NBA,,13,,11,13,,,,,,,,32
1975-76,31,KCK,NBA,,13,,9,12,,,,,,,,32
Career,,,,,17,,16,20,,,,,,,,44
5 Seasons,,DET,NBA,,17,,16,20,,,,,,,,44
3 Seasons,,"KCK,KCO",NBA,,15,,11,14,,,,,,,,38
2 Seasons,,HOU,NBA,,14,,12,12,,,,,,,,32
