Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1969-70,25,DET,NBA,SG,1,0,14:00,0,3,0,1,1,1,NA,1,0,NA,NA,2,1
1971-72,27,DET,NBA,SG,1,0,16:00,4,9,0.444,2,5,0.4,NA,2,1,NA,NA,1,10
Career,NA,,NBA,,2,0,30,4,12,0.333,3,6,0.5,NA,3,1,NA,NA,3,11
