Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Earl Williams,,1.3,1,0.4,0
Robert Sacre,83.8,1.4,0.8,0.3,-0.1
Steve Hayes,79.2,1.2,0.9,0.3,0.3
Johan Petro,79.2,1.7,1,0.4,0.2
Connie Dierking,77.7,1.4,0.7,0.5,0.1
David Harrison,77.7,1.5,1.4,0.4,-0.2
Dick Cunningham,76.6,1.2,1,1,0
Bill Wennington,75.9,1.3,0.9,0.5,0.4
Gene Tormohlen,75.3,1.4,0.8,0.1,0
Pétur Guðmundsson,75.2,1.4,0.6,0.3,-0.1
Rich Johnson,74.5,1.2,0.9,0.1,NA
