,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1974-75,23,PHO,NBA,,10,22,4,6,10,12,21,7,2,2,,5,22,
1975-76,24,DET,NBA,,6,,4,5,,,,,,,,,13,
1976-77,25,NYN,NBA,,0,2,3,6,1,1,2,1,0,1,,2,3,
1978-79,27,BOS,NBA,,11,,5,8,,,,,,,,,27,
Career,,,,,11,,5,8,,,,,,,,,27,
1 Season,,PHO,NBA,,10,22,4,6,10,12,21,7,2,2,,5,22,
1 Season,,DET,NBA,,6,,4,5,,,,,,,,,13,
1 Season,,BOS,NBA,,11,,5,8,,,,,,,,,27,
1 Season,,NYN,NBA,,0,2,3,6,1,1,2,1,0,1,,2,3,
