Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1974-75,23,PHO,NBA,C,79,NA,1040,7.2,17.4,0.414,2,4.6,0.437,6.9,13.3,20.2,4.2,1.2,1.4,NA,6.5,16.4,NA,NA,94
1975-76,24,DET,NBA,C,46,NA,562,5.9,12.3,0.48,1.8,3.6,0.5,8.4,12,20.4,1.5,1.8,1.6,NA,6.6,13.6,NA,NA,95
1976-77,25,NYN,NBA,C,1,NA,7,0,13.2,0,19.8,39.7,0.5,6.6,6.6,13.2,6.6,0,6.6,NA,13.2,19.8,NA,NA,97
1978-79,27,BOS,NBA,C,20,NA,273,8.9,20.3,0.439,2.3,4,0.583,6.8,10.6,17.3,2,2,1.5,3.3,6.8,20.1,NA,96,102
Career,NA,,NBA,,146,NA,1882,7.1,16.3,0.432,2,4.3,0.475,7.3,12.5,19.8,3.1,1.5,1.5,0.5,6.6,16.1,NA,96,96
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PHO,NBA,,79,NA,1040,7.2,17.4,0.414,2,4.6,0.437,6.9,13.3,20.2,4.2,1.2,1.4,NA,6.5,16.4,NA,NA,94
1 season,NA,DET,NBA,,46,NA,562,5.9,12.3,0.48,1.8,3.6,0.5,8.4,12,20.4,1.5,1.8,1.6,NA,6.6,13.6,NA,NA,95
1 season,NA,BOS,NBA,,20,NA,273,8.9,20.3,0.439,2.3,4,0.583,6.8,10.6,17.3,2,2,1.5,3.3,6.8,20.1,NA,96,102
1 season,NA,NYN,NBA,,1,NA,7,0,13.2,0,19.8,39.7,0.5,6.6,6.6,13.2,6.6,0,6.6,NA,13.2,19.8,NA,NA,97
