Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Otis Smith,,3.6,3.5,3.3,2.5,-0.2,-0.4
Bob Harrison,90.0,3.5,3.3,2.9,2.2,0,-0.4
Greivis Vásquez,86.7,3.8,3.6,2.8,2.3,0.5,-0.3
Kevin Loughery,86.2,3.6,3,2.6,2.5,0.1,-0.3
Gerald Henderson,85.5,3.6,3.6,3.3,2.4,1,0.4
T.J. McConnell,84.7,3.8,3.8,2.9,1.9,NA,NA
Eric Money,83.0,4.2,3.6,3.3,2.7,0.6,0.3
Geoff Huston,79.9,3.4,3,2.6,1.7,0,-0.3
Cory Joseph,79.9,4.5,3.5,3.4,2.9,0.9,0
Joe Hamilton,78.9,4.1,2.9,2.9,2.2,0.2,0.2
Skeeter Swift,78.7,4.3,3.4,2.7,1.8,0,NA
