Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Otis Smith,,3.6,3.5,3.3,2.5,-0.2,-0.4,NA,NA,NA
T.J. McConnell,84.7,3.8,3.8,2.9,1.9,NA,NA,NA,NA,NA
Eric Money,83.0,4.2,3.6,3.3,2.7,0.6,0.3,NA,NA,NA
Greivis Vásquez,82.8,3.8,3.6,2.8,2.3,0.5,0,-0.3,NA,NA
Joe Hamilton,78.9,4.1,2.9,2.9,2.2,0.2,0.2,NA,NA,NA
Skeeter Swift,78.7,4.3,3.4,2.7,1.8,0,NA,NA,NA,NA
Charles Dudley,75.6,4.6,4,3.6,1.6,0.2,-0.1,NA,NA,NA
Bill Gabor,75.3,3.5,2.9,2.8,1.5,0.5,0,NA,NA,NA
Pablo Prigioni,74.9,3.4,3.2,2.3,1.5,NA,NA,NA,NA,NA
Bob Harrison,74.0,3.5,3.3,2.9,2.2,0.9,0.9,0,-0.4,NA
Speedy Claxton,73.8,4.2,3.7,3,2.8,1.2,0,-0.7,NA,NA
