Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Red Robbins,,10.7,9.3,7,6.9,6.7,3.9,3.7,2.3,NA,NA,NA,NA,NA,NA
Kenny Sears,85.6,13.3,10,8.8,8,6.2,4,3.7,1.8,NA,NA,NA,NA,NA,NA
Bob Netolicky,85.3,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0,NA,NA,NA,NA,NA
Bob Love,85.1,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1,1,0.6,0.2,NA,NA,NA
Gordon Hayward,85.0,10.4,8.9,8.7,5.4,4.9,4.9,3.6,1.2,0,NA,NA,NA,NA,NA
Jim McMillian,84.5,8.9,7.9,7.8,6.4,6,3.4,2.6,2.5,0.5,NA,NA,NA,NA,NA
Gerald Wallace,84.1,11.5,9.5,7.7,6.4,6.2,4.8,4.6,3.1,2.4,1.3,0.9,0.6,0.4,0.1
Terry Dischinger,83.4,11.3,10.3,9.2,5.9,5.8,4.8,3.9,3.8,1.4,NA,NA,NA,NA,NA
Calvin Natt,83.3,10.2,9.8,9.3,8.4,7.1,6.1,4.2,1.1,0.5,0.3,0,NA,NA,NA
Larry Kenon,83.1,10,9.5,8.8,7.5,6.2,5.9,5.4,4.1,0.9,0.2,NA,NA,NA,NA
Greg Ballard,83.0,9.4,7.9,6.9,6.9,6,5.6,3.9,3.6,2,1.7,0,NA,NA,NA
