Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Red Robbins,,10.7,9.3,7,6.9,6.7,3.9,3.7,2.3
Toni Kukoč,90.8,10.1,10,7,6.9,4.7,3.4,3.2,2.8
Luol Deng,89.8,11.3,9.9,6.5,5.9,5.8,4.4,3,3
Alex English,89.2,10.3,9.5,8.3,8.2,7,5.3,4,1.2
Greg Ballard,89.1,9.4,7.9,6.9,6.9,6,5.6,3.9,2
Jerome Kersey,89.0,8.8,8.6,6.8,6.8,6.7,6.4,3.6,2.2
Mark Aguirre,87.6,9,8.9,8.8,7.2,6.9,4.7,4.5,1.9
Andrei Kirilenko,87.4,11.6,9.2,7.9,7.3,7.1,5.5,4.6,4.4
David Lee,87.3,10.3,9.1,9,7.4,6.9,6,5,2.7
Dan Roundfield,87.2,9.1,8.7,7.4,7,6.9,6.5,3.9,1.3
Happy Hairston,87.1,9.2,8.8,7.2,7,6.5,5.3,5.1,0.4
