,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,23,NOB,ABA,,17,,0,,,,9,11,,,,,,,,,41
1968-69,24,NOB,ABA,,11,,1,,,,6,9,,,,,,,,,29
1970-71,26,UTS,ABA,,11,,1,,,,4,6,,,,,,,,,25
1971-72,27,UTS,ABA,,4,,0,,,,6,6,,,,,,,,,14
1972-73,28,SDA,ABA,,7,,1,,,,7,7,,,,,,,,,19
1973-74,29,TOT,ABA,,4,,0,,,,3,4,,,,,,,,,10
1973-74,29,KEN,ABA,,4,,0,,,,3,4,,,,,,,,,10
Career,,,,,17,,1,,,,9,11,,,,,,,,,41
2 Seasons,,NOB,ABA,,17,,1,,,,9,11,,,,,,,,,41
2 Seasons,,UTS,ABA,,11,,1,,,,6,6,,,,,,,,,25
1 Season,,KEN,ABA,,4,,0,,,,3,4,,,,,,,,,10
1 Season,,SDA,ABA,,7,,1,,,,7,7,,,,,,,,,19
