Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Luke Witte,,1,0.1,0.1,NA,NA
Mike Peplowski,83.4,0.9,0.1,0,NA,NA
Chris Johnson,77.6,1,0.2,0.2,NA,NA
Paul Ruffner,76.1,0.9,0.1,0,0,0
Wallace Bryant,61.5,1.3,0,0,NA,NA
Chris Welp,57.2,0.7,0.3,0,NA,NA
Stojko Vranković,56.0,0.9,0.4,0.1,0,-0.1
Bernard James,55.8,1.2,0.5,0.1,NA,NA
Keith Closs,55.3,1.1,0.6,0.2,NA,NA
Jason Collier,53.8,1.2,0.4,0.3,0,0
Garfield Smith,53.6,1,-0.1,-0.2,NA,NA
