Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Greg Minor,,3,2.1,1.7,0.8,0.6
Dell Curry,90.7,2.7,2,1.8,0.9,0.5
Quinton Ross,89.7,3.2,1.7,1.6,0.7,0.6
Mike Bratz,85.9,2.7,2.1,1.7,1.5,0.4
Anthony Bowie,85.8,2.9,2.5,1.3,0.7,0.5
John Salmons,85.4,3.6,2.1,1.7,1.4,0.6
Clint Richardson,85.3,3.3,2.4,1.9,1.1,1
Gary Neal,85.1,3.5,2.5,1.9,1,0.6
Rick Adelman,84.5,3.4,2.2,1.6,0.7,0.1
Dennis Hopson,84.4,3.1,2.1,1.7,0.5,-0.3
Butch Carter,84.0,3,2.6,1.3,0.9,0.9
