Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Greg Minor,,3,2.1,1.7,0.8,0.6,NA,NA,NA,NA,NA
Quinton Ross,88.2,3.2,1.7,1.6,0.7,0.6,0,-0.1,NA,NA,NA
Ennis Whatley,85.6,3.3,2.2,1.9,0.8,0.7,0.6,0,0,0,0
Dennis Hopson,84.4,3.1,2.1,1.7,0.5,-0.3,NA,NA,NA,NA,NA
Jerian Grant,82.8,3.3,2.5,1.7,0.8,NA,NA,NA,NA,NA,NA
Mike Barr,82.3,2.7,1.7,1.4,0.7,0.4,NA,NA,NA,NA,NA
Norman Powell,82.3,2.8,2.4,1.6,0.6,NA,NA,NA,NA,NA,NA
Butch Carter,82.2,3,2.6,1.3,0.9,0.9,-0.2,NA,NA,NA,NA
Al Ferrari,81.9,3.3,1.9,1.4,1.4,0.9,0,NA,NA,NA,NA
Yogi Ferrell,80.4,3,1.9,1.8,NA,NA,NA,NA,NA,NA,NA
Brian Roberts,80.3,2.2,2.2,1.8,1,0.2,NA,NA,NA,NA,NA
