,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1967-68,23,LAL,NBA,,4,,5,7,,,,,,,,9
1970-71,26,PHO,NBA,,6,11,10,12,,,9,8,,,6,22
1971-72,27,PHO,NBA,,5,9,4,5,,,9,7,,,,12
1972-73,28,ATL,NBA,,6,,4,4,,,,,,,,12
1973-74,29,ATL,NBA,,6,,5,7,,,,,,,,17
1974-75,30,ATL,NBA,,7,,8,8,,,,,,,,14
1975-76,31,PHO,NBA,,2,4,4,5,1,3,3,5,2,1,4,6
Career,,,,,7,,10,12,,,,,,,,22
3 Seasons,,ATL,NBA,,7,,8,8,,,,,,,,17
3 Seasons,,PHO,NBA,,6,11,10,12,,,9,8,,,,22
1 Season,,LAL,NBA,,4,,5,7,,,,,,,,9
