Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
John Wetzel,,2,1.5,1.1,0.7,0.5,0.5,0.4
Rex Walters,85.8,1.6,1.6,1.2,0.9,0.5,0.4,0.3
Dahntay Jones,80.0,2,1.8,0.9,0.7,0.6,0.4,-0.4
Eddie House,79.4,1.9,1.8,1.6,0.9,0.7,0.7,0.4
Tony Smith,78.8,1.7,1.5,1.3,1.3,0.6,0.5,0.1
Joe Hassett,78.4,2,1.6,1.4,0.9,0.5,0,NA
Howard Komives,77.4,1.5,1.4,1,0.9,0.7,0.3,0.2
Keyon Dooling,77.1,2.1,1.5,1.4,1.1,0.3,0.3,0
Marcus Banks,76.0,2.3,1.9,0.8,0.7,0.5,0.4,0
Todd Lichti,72.6,1.8,1.3,1.2,1,0.2,NA,NA
Nelson Bobb,70.4,2,1.8,1.2,1.1,NA,NA,NA
