Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1967-68,23,LAL,NBA,SF,38,NA,434,4.3,9.9,0.437,2.9,3.8,0.761,NA,NA,7,4.2,NA,NA,4.6,11.5
1970-71,26,PHO,NBA,SG,70,NA,1091,4.1,9.5,0.431,2.7,3.3,0.822,NA,NA,5,3.8,NA,NA,5.1,10.9
1971-72,27,PHO,NBA,SG,51,NA,419,2.7,7,0.378,2.1,2.6,0.8,NA,NA,5.6,4.8,NA,NA,6.1,7.4
1972-73,28,ATL,NBA,SG,28,NA,504,3,6.7,0.447,1,1.2,0.824,NA,NA,4.1,2.8,NA,NA,2.9,7
1973-74,29,ATL,NBA,SG,70,NA,1232,3.1,7.4,0.425,1.2,1.7,0.719,1.1,3.8,5,4,2.1,0.6,4.3,7.5
1974-75,30,ATL,NBA,SG,63,NA,785,4,9.4,0.426,3.1,3.5,0.883,1.6,3.7,5.2,3.5,2.3,0.4,5,11.1
1975-76,31,PHO,NBA,SG,37,NA,249,3.2,6.7,0.478,2.9,3.5,0.833,1.2,4.3,5.5,2.7,1.3,0.4,4.3,9.3
Career,NA,,NBA,,357,NA,4714,3.6,8.3,0.429,2.2,2.7,0.81,1.3,3.8,5.2,3.8,2.1,0.5,4.6,9.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,ATL,NBA,,161,NA,2521,3.4,7.9,0.429,1.8,2.2,0.815,1.3,3.8,4.9,3.6,2.2,0.5,4.2,8.5
3 seasons,NA,PHO,NBA,,158,NA,1759,3.6,8.5,0.425,2.6,3.2,0.819,1.2,4.3,5.2,3.9,1.3,0.4,5.3,9.8
1 season,NA,LAL,NBA,,38,NA,434,4.3,9.9,0.437,2.9,3.8,0.761,NA,NA,7,4.2,NA,NA,4.6,11.5
