,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1969-70,23,LAL,NBA,,12,,8,9,,,,,,,,27
1970-71,24,BUF,NBA,,12,,12,13,,,,,,,,28
1971-72,25,BUF,NBA,,11,,6,6,,,,,,,,24
1972-73,26,BUF,NBA,,12,,7,8,,,,,,,,26
1973-74,27,TOT,NBA,,6,,4,4,,,,,,,,14
1973-74,27,NYK,NBA,,6,,4,4,,,,,,,,14
1973-74,27,MIL,NBA,,3,,2,2,,,,,,,,8
Career,,,,,12,,12,13,,,,,,,,28
3 Seasons,,BUF,NBA,,12,,12,13,,,,,,,,28
1 Season,,LAL,NBA,,12,,8,9,,,,,,,,27
1 Season,,NYK,NBA,,6,,4,4,,,,,,,,14
1 Season,,MIL,NBA,,3,,2,2,,,,,,,,8
