Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,27,TOT,NBA,SG,40,NA,326,6.1,17.8,0.341,2.1,2.7,0.789,2.1,3.5,5.7,3.3,1.4,0.1,7.9,14.3,NA,NA,97
1973-74,27,NYK,NBA,SG,25,NA,239,6.2,17.7,0.352,1.9,2.5,0.769,1.9,3.1,5,2.7,1.4,0.2,8,14.4,NA,NA,97
1973-74,27,MIL,NBA,SG,15,NA,87,5.8,18.3,0.314,2.6,3.1,0.833,2.6,4.7,7.3,4.7,1.6,0,7.9,14.1,NA,NA,96
Career,NA,,NBA,,40,NA,326,6.1,17.8,0.341,2.1,2.7,0.789,2.1,3.5,5.7,3.3,1.4,0.1,7.9,14.3,NA,NA,97
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,NYK,NBA,,25,NA,239,6.2,17.7,0.352,1.9,2.5,0.769,1.9,3.1,5,2.7,1.4,0.2,8,14.4,NA,NA,97
1 season,NA,MIL,NBA,,15,NA,87,5.8,18.3,0.314,2.6,3.1,0.833,2.6,4.7,7.3,4.7,1.6,0,7.9,14.1,NA,NA,96
