Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Dick Garrett,,2.4,2.3,1.6,0.1,-0.2
Kevin Edwards,90.1,2.5,2.4,1.6,0.3,-0.2
Freddie Crawford,88.2,2.7,2.2,1.6,-0.2,-0.3
Fred Hoiberg,87.3,2.3,2.1,1.8,0.2,0
Tex Ritter,85.6,2.4,2.3,1,NA,NA
Avery Bradley,85.1,2.5,2.4,1.8,0.4,-0.5
Caris LeVert,83.7,2.3,1.8,1.7,NA,NA
Mike Butler,82.4,3.1,2.3,1.6,0.1,NA
Norman Powell,81.4,2.8,2.4,1.6,0.6,NA
Leon Wood,81.2,2.2,2,1.9,0.3,-0.2
Daequan Cook,79.9,2.2,1.6,1.6,0.1,-0.4
