Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Dick Garrett,,2.4,2.3,1.6,0.1,-0.2,NA,NA
Freddie Crawford,88.2,2.7,2.2,1.6,-0.2,-0.3,NA,NA
Tex Ritter,85.6,2.4,2.3,1,NA,NA,NA,NA
Caris LeVert,83.7,2.3,1.8,1.7,NA,NA,NA,NA
Mike Butler,82.4,3.1,2.3,1.6,0.1,NA,NA,NA
Norman Powell,81.4,2.8,2.4,1.6,0.6,NA,NA,NA
Tom Garrick,79.8,2.5,1.8,1.4,0.2,NA,NA,NA
Louie Nelson,78.8,2.9,2.3,1.1,0,0,NA,NA
James Robinson,78.7,2.3,1.9,1.2,0.2,0.2,0,-0.1
Jonathon Simmons,77.6,2,2,1.9,0.3,NA,NA,NA
Casey Jacobsen,77.3,2.7,2.6,1.2,-0.3,NA,NA,NA
