Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Kelly Oubre,,3.7,2.2,2,0.4
Antoine Carr,95.9,3.8,2.2,2.1,0.7
George Johnson,91.8,3.8,2.5,2.2,0.6
Solomon Hill,90.6,3.5,2.7,2.1,0.4
Bill Calhoun,90.3,4.5,2.2,2.1,0.4
Mike Sweetney,90.2,3.8,2.1,1.4,0.4
Luke Walton,89.6,3.8,2,1.6,0.5
Don Boven,87.5,3.8,2.2,1.5,NA
Allan Bristow,87.4,4.3,1.9,1.9,0.5
Trevor Ariza,87.3,3.4,2.1,1.8,0.9
Scott Williams,87.2,3.9,2.3,1.7,0.9
