Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Kelly Oubre,,3.7,2.2,2,0.4,NA,NA
Mike Sweetney,90.2,3.8,2.1,1.4,0.4,NA,NA
Don Boven,87.5,3.8,2.2,1.5,NA,NA,NA
Solomon Hill,86.3,3.5,2.7,2.1,0.5,0.4,-0.1
Boštjan Nachbar,86.2,4.1,2.2,1.7,0.8,0.1,-0.1
Walter Berry,86.0,3.4,2.4,2.3,NA,NA,NA
Zeke Zawoluk,83.7,3.9,2.5,1.7,NA,NA,NA
Mickey Davis,82.8,3.4,2.6,2.3,0.4,0.3,-0.1
Greg Kelser,82.8,3.9,2.5,1.4,0.8,0.1,0
Trey Lyles,82.8,3.9,2.3,1.2,0.8,NA,NA
Sam Williams,82.2,3.7,2.7,2.6,-0.1,NA,NA
