,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,32,TOT,NBA,SF,26,339,,3%,76%,21%,,-4.9,+2.4,4,1,12,3,16,0,24,4,8
2000-01,32,GSW,NBA,SF,6,74,,5%,66%,29%,,-1.4,+8.4,0,1,3,1,4,0,11,2,0
2000-01,32,CLE,NBA,SF,20,265,,3%,79%,18%,,-6.0,-1.2,4,0,9,2,12,0,13,2,8
2001-02,33,SAC,NBA,SF,18,92,,58%,42%,,,-8.4,-16.8,3,1,3,1,1,0,14,0,2
Career,,,NBA,,44,431,,15%,69%,16%,,-5.7,-1.7,7,2,15,4,17,0,38,4,10
,,,,,,,,,,,,,,,,,,,,,,
1 season,,CLE,NBA,,20,265,,3%,79%,18%,,-6.0,-1.2,4,0,9,2,12,0,13,2,8
1 season,,SAC,NBA,,18,92,,58%,42%,,,-8.4,-16.8,3,1,3,1,1,0,14,0,2
1 season,,GSW,NBA,,6,74,,5%,66%,29%,,-1.4,+8.4,0,1,3,1,4,0,11,2,0
